Date,BTC,DOGE,ETH,LTC,XRP,XLM
2018-06-17,6484.29,0.002427,497.31,96.67,0.45308,0.18671
2018-06-18,6447.16,0.002499,496.5,95.01,0.466245,0.193425
2018-06-19,6709.02,0.002489,517.47,98.63,0.461358,0.198573
2018-06-20,6736.41,0.002703,538.5,98.58,0.486122,0.213151
2018-06-21,6756.1,0.002638,536,97.83,0.485223,0.206315
2018-06-22,6719.01,0.00268,525.49,96.69,0.490043,0.209735
2018-06-23,6059.82,0.002599,462.01,85.03,0.481625,0.202978
2018-06-24,6178.29,0.002597,475.17,83.21,0.479151,0.206381
2018-06-25,6149.99,0.002645,454.79,80.61,0.492477,0.20845
2018-06-26,6246.01,0.002611,458.41,81.67,0.477749,0.209783
2018-06-27,6074.94,0.002603,429.08,75.8,0.47427,0.207929
2018-06-28,6132.17,0.002411,441.41,80.73,0.445042,0.191889
2018-06-29,5851.66,0.002425,420,74.25,0.450233,0.189504
2018-06-30,6202.36,0.002306,434.6,78.94,0.435364,0.185719
2018-07-01,6383.19,0.002332,453.29,81.01,0.438741,0.204272
2018-07-02,6349.5,0.002362,451.43,79.89,0.439271,0.207877
2018-07-03,6611.79,0.00238,476.34,85.45,0.445894,0.219871
2018-07-04,6502.62,0.002854,461.75,84.96,0.483401,0.237928
2018-07-05,6587.47,0.003228,466.9,85.4,0.505587,0.252967
2018-07-06,6532.95,0.003712,467.25,83.29,0.486389,0.2984
2018-07-07,6600,0.003844,469.3,82.96,0.476433,0.302513
2018-07-08,6753.28,0.00341,484.48,84.7,0.446994,0.271492
2018-07-09,6701.97,0.00327,486.08,82.2,0.45541,0.292259
2018-07-10,6664.01,0.003458,471.6,80.49,0.449311,0.283534
2018-07-11,6303.7,0.003431,432.59,75.95,0.445276,0.284384
2018-07-12,6390.04,0.00362,446.25,78.35,0.457623,0.301456
2018-07-13,6249.75,0.003543,431.46,76.97,0.459829,0.331706
2018-07-14,6216.29,0.003393,432.8,76.68,0.44992,0.309552
2018-07-15,6248.65,0.003418,434.13,76.2,0.453635,0.316882
2018-07-16,6348.73,0.0034,449.41,78.51,0.453667,0.315229
2018-07-17,6728.81,0.003307,478.18,83.53,0.453306,0.308399
2018-07-18,7315.01,0.003273,499.01,88.98,0.446107,0.295923
2018-07-19,7378.99,0.002945,478.81,86.27,0.435225,0.278009
2018-07-20,7470.01,0.00316,468.39,86.14,0.445852,0.276268
2018-07-21,7334.46,0.002946,448.21,81.72,0.430254,0.261192
2018-07-22,7408,0.002918,461.5,83.5,0.440571,0.258956
2018-07-23,7397.8,0.002745,456.9,82.22,0.428507,0.240724
2018-07-24,7720.09,0.002837,449,81.52,0.433638,0.244218
2018-07-25,8401.01,0.002779,478.78,89.06,0.414081,0.234705
2018-07-26,8157.15,0.002671,470.81,86.35,0.381006,0.230672
2018-07-27,7931.99,0.002415,461.42,83.46,0.331944,0.201351
2018-07-28,8184.21,0.002555,469.3,84.52,0.346771,0.221435
2018-07-29,8228.9,0.002392,468.12,83.99,0.320426,0.22543
2018-07-30,8216.34,0.002404,466.01,83.93,0.301262,0.217665
2018-07-31,8170.01,0.002404,456.47,82.22,0.29787,0.223601
2018-08-01,7727.27,0.002331,432.16,78.86,0.277466,0.223559
2018-08-02,7603.99,0.00226,419.6,77.64,0.274272,0.216706
2018-08-03,7533.92,0.002303,410.71,76.23,0.282005,0.216954
2018-08-04,7414.08,0.002292,417.8,77.6,0.292436,0.216032
2018-08-05,7005,0.002455,407,73.04,0.366676,0.23812
2018-08-06,7030.01,0.002394,408.83,74.65,0.3271,0.224235
2018-08-07,6938,0.002473,404.99,73.58,0.343978,0.222723
2018-08-08,6718.22,0.002369,378.08,67.36,0.319283,0.216457
2018-08-09,6282.5,0.002424,355.7,62.27,0.335177,0.214708
2018-08-10,6546.46,0.002315,363.99,63.08,0.319803,0.206896
2018-08-11,6146.01,0.002385,330.99,59.14,0.327709,0.222162
2018-08-12,6112.21,0.002426,312.65,55.75,0.327606,0.219806
2018-08-13,6112.21,0.00237,312.65,55.75,0.32823,0.217795
2018-08-14,6253.67,0.002404,284.11,56.48,0.323776,0.21484
2018-08-15,6195.01,0.002462,278.37,54.39,0.336903,0.225437
2018-08-16,6269.01,0.002607,281.21,54.44,0.351837,0.234745
2018-08-17,6315.9,0.002606,286.67,55.47,0.344803,0.226211
2018-08-18,6585.49,0.003206,317.54,61.82,0.335444,0.220902
2018-08-19,6396.64,0.004794,296.61,57.38,0.335332,0.222076
2018-08-20,6489.53,0.006278,300.03,57.85,0.347721,0.229722
2018-08-21,6258.74,0.004999,270.76,53.39,0.342523,0.224744
2018-08-22,6475.9,0.005266,281.49,56.39,0.335961,0.225325
2018-08-23,6359.99,0.005269,270.47,55.2,0.331652,0.231268
2018-08-24,6526.36,0.004931,275.87,57.31,0.283601,0.207437
2018-08-25,6690.88,0.00501,281.35,57.94,0.30271,0.207484
2018-08-26,6737.52,0.005307,277.97,58.01,0.291435,0.207662
2018-08-27,6709.98,0.005692,274.25,57.11,0.279333,0.194437
2018-08-28,6911.9,0.005829,287.99,60.7,0.27868,0.192781
2018-08-29,7071.01,0.006892,295.39,63.18,0.270321,0.190839
2018-08-30,7030.9,0.006329,289,61.54,0.26371,0.201071
2018-08-31,6983,0.006455,284.52,60.25,0.270087,0.198293
2018-09-01,7015.01,0.006554,281.94,62.13,0.280583,0.207806
2018-09-02,7191.08,0.00618,294.64,66.47,0.277159,0.201743
2018-09-03,7295,0.006165,295.06,66.23,0.282008,0.203202
2018-09-04,7256.98,0.006531,288.6,65.37,0.281166,0.20651
2018-09-05,7360,0.006243,285.43,67.75,0.272251,0.196827
2018-09-06,6687.96,0.005981,227.56,57.68,0.32186,0.208417
2018-09-07,6495,0.005609,229.66,57.48,0.326053,0.206563
2018-09-08,6395.01,0.005695,215.21,55.5,0.449918,0.231897
2018-09-09,6188,0.005684,197,53.2,0.561462,0.249211
2018-09-10,6235.01,0.005758,195.91,54.71,0.570798,0.239225
2018-09-11,6299.99,0.005901,196.94,54.3,0.570689,0.281478
2018-09-12,6282.53,0.005677,185.15,51.97,0.494712,0.259048
2018-09-13,6326,0.005686,182.79,51.6,0.526941,0.252306
2018-09-14,6485.99,0.005695,211.39,54.66,0.516308,0.244767
2018-09-15,6478.04,0.005879,210,56.33,0.541381,0.259216
2018-09-16,6518.68,0.005831,221.69,56.34,0.539112,0.254127
2018-09-17,6498,0.005865,220.19,56.78,0.571228,0.253908
2018-09-18,6250.7,0.005906,195.97,52.05,0.581572,0.259599
2018-09-19,6335.7,0.005942,208.5,54,0.576461,0.258404
2018-09-20,6386.94,0.005824,209.81,54.28,0.520837,0.248286
2018-09-21,6493.11,0.005704,224.41,56.56,0.528162,0.241136
2018-09-22,6750,0.005645,247.76,60.83,0.526606,0.244278
2018-09-23,6707.33,0.005669,240.71,60.53,0.519026,0.245192
2018-09-24,6696.99,0.005545,244.35,61.31,0.488082,0.239771
2018-09-25,6582.09,0.005562,228.01,57.94,0.482039,0.245138
2018-09-26,6436.89,0.005578,219.19,57.57,0.489751,0.249009
2018-09-27,6455.66,0.005635,214.15,57.21,0.479857,0.243915
2018-09-28,6680.01,0.005552,229,63.11,0.462387,0.241593
2018-09-29,6620.01,0.005,220.67,61.75,0.38313,0.207037
2018-09-30,6582,0.005247,231.01,61.45,0.419115,0.216032
2018-10-01,6605,0.005182,232.27,61.05,0.418878,0.21481
2018-10-02,6572.83,0.005158,230.4,60.22,0.403286,0.210144
2018-10-03,6498.46,0.005218,224.85,59.2,0.447316,0.223001
2018-10-04,6466.03,0.005017,219.01,57.25,0.470253,0.227978
2018-10-05,6547.45,0.004599,221,58,0.468197,0.240403
2018-10-06,6593.94,0.004386,226.89,58.47,0.457725,0.239452
2018-10-07,6552.43,0.00447,223.85,57.7,0.454178,0.242853
2018-10-08,6570,0.004551,224.82,57.9,0.459151,0.244182
2018-10-09,6608.07,0.004517,227.68,59.24,0.456694,0.241724
2018-10-10,6589.48,0.004366,226.15,58.43,0.453109,0.242361
2018-10-11,6524.56,0.004172,223.61,57.49,0.462058,0.242215
2018-10-12,6154.69,0.003911,188.32,50.55,0.457237,0.23776
2018-10-13,6188.01,0.003717,194.1,53.03,0.458052,0.235646
2018-10-14,6196,0.003984,196.72,53.05,0.459288,0.234011
2018-10-15,6183.49,0.004195,191.87,51.36,0.456348,0.22876
2018-10-16,6436.98,0.004063,204.12,53.39,0.462406,0.232871
2018-10-17,6422.16,0.003847,203.55,53.44,0.441514,0.222357
2018-10-18,6443.7,0.00385,203.21,52.81,0.444759,0.225093
2018-10-19,6394.96,0.003764,199.09,51.73,0.448382,0.223471
2018-10-20,6382.98,0.003777,200,52.5,0.455722,0.222945
2018-10-21,6414,0.003773,202.69,52.83,0.458685,0.234244
2018-10-22,6415.88,0.003733,202.12,52.23,0.455667,0.235706
2018-10-23,6407.65,0.003676,201.25,51.67,0.462691,0.241638
2018-10-24,6395.14,0.003622,201.12,52.1,0.497412,0.246529
2018-10-25,6415.97,0.003696,200.68,51.85,0.54908,0.265596
2018-10-26,6395.58,0.003637,199.65,51.71,0.535707,0.256718
2018-10-27,6404.87,0.003384,200.7,51.59,0.493508,0.256043
2018-10-28,6409.12,0.00314,201.46,51.53,0.500668,0.255542
2018-10-29,6403.62,0.003285,202.43,51.53,0.506698,0.26123
2018-10-30,6266,0.003162,194.29,48.44,0.505913,0.273605
2018-10-31,6267.63,0.003064,195.35,48.95,0.517165,0.267326
2018-11-01,6304.18,0.002945,196.95,49.47,0.510112,0.257787
2018-11-02,6343.99,0.002695,197.96,50.19,0.474372,0.233043
2018-11-03,6349.8,0.0028,199.75,51.13,0.481708,0.241944
2018-11-04,6331.96,0.002746,198.35,50.61,0.471609,0.23885
2018-11-05,6423.28,0.002595,210.06,53.88,0.491654,0.244927
2018-11-06,6404,0.002643,208.53,53.45,0.510473,0.249758
2018-11-07,6448.5,0.002418,218.51,55.84,0.478166,0.224412
2018-11-08,6503.12,0.002254,216.84,53.82,0.434726,0.193193
2018-11-09,6406.25,0.002448,210.34,52.04,0.447651,0.203688
2018-11-10,6334.89,0.002412,208.01,51.66,0.42608,0.187797
2018-11-11,6347.42,0.002361,210.29,51.86,0.407428,0.181211
2018-11-12,6357.6,0.002224,209.88,50.8,0.375336,0.154205
2018-11-13,6327.86,0.00222,208.77,50.33,0.374551,0.159607
2018-11-14,6259.35,0.002099,203.2,48.84,0.355451,0.144795
2018-11-15,5605.46,0.002087,177.79,42.69,0.360163,0.144374
2018-11-16,5579.52,0.002246,178.89,43.36,0.390557,0.162237
2018-11-17,5512.24,0.002241,172.4,41.73,0.379562,0.16508
2018-11-18,5504.17,0.002165,172.48,41.54,0.362455,0.15863
2018-11-19,5560,0.00225,175.87,41.86,0.372906,0.166332
2018-11-20,4733.5,0.002246,145.21,35.75,0.367627,0.160301
2018-11-21,4349.23,0.002371,127.55,32.28,0.348754,0.149536
2018-11-22,4545.11,0.002196,134.73,34.29,0.352231,0.147653
2018-11-23,4263.66,0.00218,123.2,31.3,0.338242,0.135936
2018-11-24,4283.8,0.002097,121.44,31.69,0.310936,0.119594
2018-11-25,3774.99,0.002104,110.08,28.6,0.301997,0.115263
2018-11-26,3936.69,0.00212,114.3,30.43,0.307269,0.118993
2018-11-27,3731.32,0.002102,106.95,29.1,0.31337,0.124328
2018-11-28,3775,0.0021,108.58,30.85,0.303766,0.118253
2018-11-29,4225.03,0.002088,121.95,34.43,0.301345,0.112835
2018-11-30,4248,0.002111,116.38,33.5,0.307323,0.11369
2018-12-01,3975.48,0.002065,111.88,31.66,0.300026,0.1058
2018-12-02,4142.01,0.00207,116.82,33.77,0.28879,0.09774
2018-12-03,4103.19,0.002113,114.76,33.34,0.285883,0.095439
2018-12-04,3833.47,0.002125,107.21,30.5,0.287929,0.096278
2018-12-05,3901.84,0.002533,108.61,30.71,0.328453,0.109693
2018-12-06,3694.39,0.002684,100.71,28.71,0.350162,0.11433
2018-12-07,3433.26,0.00272,89.25,26.25,0.351956,0.114245
2018-12-08,3380.01,0.002731,92.45,24.77,0.378199,0.12655
2018-12-09,3401,0.002545,89.99,24.19,0.35857,0.119916
2018-12-10,3531.18,0.002502,92.79,25.3,0.362308,0.12275
2018-12-11,3410.15,0.002542,89.23,23.97,0.37127,0.126585
2018-12-12,3355.68,0.00254,87.23,23.28,0.406799,0.13252
2018-12-13,3430.24,0.002404,89.09,24,0.380872,0.121682
2018-12-14,3265,0.002474,85.35,22.84,0.378693,0.120607
2018-12-15,3195.71,0.002364,83,23.17,0.341162,0.110486
2018-12-16,3183,0.002434,83.03,23.4,0.376852,0.121383
2018-12-17,3195,0.002403,83.74,25.24,0.367252,0.118036
2018-12-18,3496.82,0.002367,93.79,28.88,0.369581,0.11743
2018-12-19,3667.77,0.002346,101,30.12,0.352706,0.112813
2018-12-20,3682.51,0.002392,99.34,29.05,0.364771,0.11593
2018-12-21,4075.34,0.002407,114.6,32.36,0.375243,0.119331
2018-12-22,3839.06,0.00236,107.74,30.2,0.360224,0.113825
2018-12-23,3980.46,0.002315,116.09,31.59,0.356747,0.115361
2018-12-24,3944.93,0.002319,129.61,33.07,0.355275,0.114046
2018-12-25,4034,0.002328,139.03,33.05,0.368395,0.120384
2018-12-26,3780,0.002285,128.82,30.77,0.364347,0.12322
2018-12-27,3809.88,0.002276,130.47,30.52,0.365315,0.123119
2018-12-28,3589.89,0.002266,114.63,27.72,0.37089,0.123774
2018-12-29,3888.06,0.002132,136.82,32.22,0.332652,0.109879
2018-12-30,3729.31,0.002129,134.15,30.69,0.332904,0.107332
2018-12-31,3829,0.002148,138.78,31.56,0.3288,0.106764
2019-01-01,3691.86,0.002094,130.53,29.78,0.317863,0.103609
2019-01-02,3826.09,0.002183,139.75,31.68,0.333766,0.109649
2019-01-03,3890.79,0.002111,153.5,32.94,0.327179,0.105685
2019-01-04,3787.57,0.002138,147.23,31.6,0.329701,0.106891
2019-01-05,3820.25,0.002094,153.24,32.02,0.329353,0.108461
2019-01-06,3798.62,0.002106,154.21,34.48,0.324277,0.106821
2019-01-07,4040.99,0.002153,155.92,38.88,0.331001,0.108304
2019-01-08,4006.01,0.002119,150.62,37.66,0.321177,0.104702
2019-01-09,3993.86,0.002101,148.97,39.13,0.32079,0.10338
2019-01-10,4004.12,0.002057,149.5,38.58,0.319491,0.104103
2019-01-11,3626.12,0.002043,126.41,33.27,0.316492,0.102576
2019-01-12,3635.69,0.002039,125.83,31.79,0.317598,0.10221
2019-01-13,3619.41,0.002118,124.59,32.04,0.317165,0.101741
2019-01-14,3514.24,0.002083,115.55,29.92,0.314235,0.100014
2019-01-15,3664.19,0.002027,128.37,32.07,0.309439,0.096316
2019-01-16,3580.76,0.001944,120.06,31.01,0.294863,0.087904
2019-01-17,3609.71,0.001927,122.12,31.4,0.289558,0.083923
2019-01-18,3640.65,0.001961,122.55,31.62,0.320461,0.085634
2019-01-19,3607.85,0.001925,119.53,30.96,0.310036,0.082631
2019-01-20,3682.65,0.001916,123.17,32.22,0.308517,0.08358
2019-01-21,3536.19,0.001936,117.43,30.61,0.310912,0.08309
2019-01-22,3531.76,0.001904,115.86,30.82,0.302352,0.081347
2019-01-23,3577.03,0.001896,118.1,31.48,0.300198,0.07973
2019-01-24,3553.01,0.001888,116.55,31.6,0.299239,0.077882
2019-01-25,3568.97,0.001866,116.4,32.47,0.290727,0.074387
2019-01-26,3562.18,0.001845,114.95,32.73,0.291618,0.074688
2019-01-27,3556.07,0.001956,115.01,32.64,0.311683,0.081224
2019-01-28,3531.01,0.001949,111.35,32.02,0.311284,0.080808
2019-01-29,3429.95,0.001946,105.47,30.96,0.309909,0.080393
2019-01-30,3397.42,0.001906,104.02,30.69,0.302741,0.077595
2019-01-31,3437.55,0.001894,107.61,31.53,0.30519,0.077616
2019-02-01,3411.49,0.001893,105.79,31.24,0.304284,0.07699
2019-02-02,3437.5,0.001897,105.88,32.37,0.301909,0.076635
2019-02-03,3468.43,0.001908,109.3,34.18,0.301759,0.079276
2019-02-04,3414.78,0.001924,105.94,32.87,0.301703,0.078421
2019-02-05,3409.57,0.001992,106.08,33.64,0.30337,0.079608
2019-02-06,3428.4,0.002114,106,33.95,0.321568,0.083691
2019-02-07,3367.36,0.002067,103.36,32.47,0.323768,0.089982
2019-02-08,3359,0.002079,103.21,32.85,0.33288,0.091735
2019-02-09,3622,0.002028,117.98,42.56,0.321291,0.089091
2019-02-10,3623.73,0.002056,118.06,44.2,0.321904,0.090668
2019-02-11,3648.85,0.002083,123.94,46.51,0.33262,0.094257
2019-02-12,3590.36,0.001974,119.55,42.37,0.301443,0.084234
2019-02-13,3588.06,0.00203,120.82,43.35,0.32851,0.087305
2019-02-14,3576.68,0.002023,120.74,41.21,0.319477,0.0868
2019-02-15,3561.5,0.002019,119.39,40.93,0.313106,0.086195
2019-02-16,3566.59,0.001976,120.42,42.08,0.315078,0.085503
2019-02-17,3582.37,0.001994,121.56,43.15,0.317312,0.085833
2019-02-18,3625.08,0.002003,132.34,43.45,0.315126,0.08446
2019-02-19,3867,0.001999,144.56,47.34,0.312554,0.087235
2019-02-20,3888.01,0.001982,142.69,46.91,0.305133,0.083539
2019-02-21,3938.99,0.001985,147.19,51.08,0.316507,0.086299
2019-02-22,3897.71,0.001983,144.21,48.46,0.317031,0.085566
2019-02-23,3942.02,0.001991,146.68,49.07,0.314766,0.085541
2019-02-24,4110,0.00198,157.56,51.19,0.310087,0.087246
2019-02-25,3734.22,0.001998,131.76,43.57,0.313826,0.089744
2019-02-26,3818.79,0.001999,137.64,45.37,0.313107,0.100039
2019-02-27,3799.48,0.001966,135.76,44.66,0.311065,0.102263
2019-02-28,3799.92,0.002012,134.46,44.96,0.310201,0.104598
2019-03-01,3792.14,0.002025,134.48,45.44,0.314098,0.108199
2019-03-02,3806.17,0.002039,134.72,46.81,0.312955,0.107272
2019-03-03,3809.7,0.002048,132.32,48.25,0.315052,0.107773
2019-03-04,3786.93,0.002077,129.78,47.49,0.320468,0.109619
2019-03-05,3700.72,0.002081,125.24,45.64,0.317612,0.109385
2019-03-06,3844.59,0.002083,136.3,52.3,0.31744,0.115914
2019-03-07,3851.89,0.002091,137,55.17,0.319281,0.113248
2019-03-08,3857.05,0.002061,136.29,56.51,0.31961,0.111403
2019-03-09,3843.12,0.002054,132.75,55.33,0.312718,0.107947
2019-03-10,3917,0.002052,136.41,57.43,0.311541,0.108693
2019-03-11,3900.92,0.002064,134.66,56.3,0.312359,0.108281
2019-03-12,3849.68,0.002054,132.05,54.65,0.308992,0.106012
2019-03-13,3860,0.002043,132.8,56.2,0.304055,0.102469
2019-03-14,3851.02,0.002054,131.16,55.06,0.30506,0.103379
2019-03-15,3853.95,0.002085,131.4,55.61,0.312465,0.108062
2019-03-16,3902.8,0.002074,135.99,58.13,0.309246,0.10744
2019-03-17,3990,0.002087,140.48,61.01,0.307929,0.107572
2019-03-18,3967.01,0.00208,138.07,60.29,0.310632,0.107359
2019-03-19,3970.5,0.00208,137.01,58.99,0.309229,0.107651
2019-04-01,3975.01,0.002461,137.59,59.32,0.312747,0.109615
2019-04-02,4137.01,0.002795,141,60.35,0.351499,0.121901
2019-04-03,4901.93,0.003164,164.69,77.5,0.342234,0.121339
2019-04-04,4975.97,0.003697,161.33,85.72,0.332513,0.118788
2019-04-05,4907.3,0.00359,157.65,84.95,0.361803,0.126367
2019-04-06,5040.66,0.003439,166.08,88.88,0.354405,0.124729
2019-04-07,5044.13,0.003418,165.79,92.37,0.359856,0.130303
2019-04-08,5194.79,0.003045,174.84,91.88,0.358234,0.131996
2019-04-09,5285.54,0.002884,180.74,89.49,0.349462,0.125384
2019-04-10,5193.49,0.003021,175.83,86.89,0.354792,0.125462
2019-04-11,5318.58,0.002789,177.55,88.43,0.330984,0.116685
2019-04-12,5040.12,0.002856,164.92,79.23,0.326346,0.114609
2019-04-13,5078.19,0.002872,164.27,78.92,0.326031,0.115898
2019-04-14,5066.22,0.002882,163.75,77.95,0.328809,0.116663
2019-04-15,5164.27,0.00279,168.27,83.77,0.320913,0.113629
2019-04-16,5029.99,0.002835,160.24,78.24,0.327218,0.117505
2019-04-17,5202.9,0.00281,166.38,80.89,0.335453,0.116636
2019-04-18,5227,0.002946,166.54,79.15,0.337065,0.117363
2019-04-19,5281.81,0.002893,174.15,82.07,0.331902,0.115737
2019-04-20,5290.37,0.002902,173.83,82.57,0.328476,0.115532
2019-04-21,5319.89,0.00276,173.73,81.69,0.322449,0.112404
2019-04-22,5297.64,0.002798,169.9,77.23,0.323934,0.113495
2019-04-23,5387.6,0.002772,171.6,76.93,0.321222,0.111824
2019-04-24,5532.75,0.002599,170.14,74.32,0.302318,0.103259
2019-04-25,5441.9,0.002506,165.75,73.14,0.289384,0.099075
2019-04-26,5134.81,0.002519,152.05,70.67,0.298502,0.09914
2019-04-27,5159.51,0.002516,153.41,71.64,0.296741,0.099951
2019-04-28,5170.6,0.002531,155.66,70.55,0.297426,0.098736
2019-04-29,5155,0.002466,153.19,67.78,0.294289,0.096475
2019-04-30,5148.25,0.002513,152.36,66.55,0.309476,0.099953
2019-05-01,5270.69,0.002521,160.4,73.51,0.304696,0.101351
2019-05-02,5321.15,0.002611,158.3,72.52,0.303239,0.100275
2019-05-03,5390.01,0.002721,158.7,72.16,0.308222,0.102295
2019-05-04,5657.4,0.00268,164.74,77.72,0.304552,0.099677
2019-05-05,5770.01,0.002653,161.85,76.92,0.302342,0.098927
2019-05-06,5715.86,0.002542,161.25,74.79,0.302389,0.097809
2019-05-07,5687.9,0.002536,171.07,74.09,0.299684,0.094926
2019-05-08,5907.47,0.002537,177.23,76.34,0.300721,0.093697
2019-05-09,5948.41,0.0025,169.58,73.83,0.296509,0.090232
2019-05-10,6153.09,0.002522,170.11,73.76,0.300387,0.092452
2019-05-11,6343.14,0.002754,172.21,76.68,0.324543,0.104228
2019-05-12,7219.95,0.002665,192.52,88.31,0.310074,0.098866
2019-05-13,6979.76,0.002756,188.23,84.79,0.325475,0.100416
2019-05-14,7824.93,0.003068,196.51,87.78,0.409062,0.112994
2019-05-15,7990.92,0.003308,217.44,91.69,0.456005,0.137002
2019-05-16,8203.32,0.003168,249,102.26,0.419707,0.137283
2019-05-17,7878.96,0.002962,264.39,95.75,0.386193,0.126562
2019-05-18,7363.69,0.003005,244.59,89.88,0.372736,0.128833
2019-05-19,7262.4,0.003178,234.03,86.65,0.4177,0.141485
2019-05-20,8200,0.003041,261.09,95.06,0.398003,0.135545